ltla,phe_region,mid_week,Nt,nt,M,round,start_date,end_date,mid_date,m,l,u
Adur,South East,2020-11-22,1775,39,64301,7,2020-11-13,2020-12-03,2020-11-23,2.1971830985915495,1.6114158527685207,2.9894134350170227
Adur,South East,2021-01-17,2631,314,64301,8,2021-01-06,2021-01-22,2021-01-14,11.93462561763588,10.75100150492201,13.229244316148932
Allerdale,North West,2020-11-22,2639,107,97761,7,2020-11-13,2020-12-03,2020-11-23,4.054566123531641,3.366425895979945,4.876272813533291
Allerdale,North West,2021-01-17,3941,457,97761,8,2021-01-06,2021-01-22,2021-01-14,11.596041613803603,10.633604747290878,12.63327348854783
Amber Valley,East Midlands,2020-11-22,3518,329,128147,7,2020-11-13,2020-12-03,2020-11-23,9.351904491188174,8.433624108739828,10.358858930582302
Amber Valley,East Midlands,2021-01-17,4149,595,128147,8,2021-01-06,2021-01-22,2021-01-14,14.340805013256205,13.307299943832229,15.440280975370888
Arun,South East,2020-11-22,5330,105,160758,7,2020-11-13,2020-12-03,2020-11-23,1.9699812382739212,1.6300321814996632,2.3791132059594955
Arun,South East,2021-01-17,7631,873,160758,8,2021-01-06,2021-01-22,2021-01-14,11.440178220416723,10.745341251060161,12.173817820659206
Ashfield,East Midlands,2020-11-22,4176,304,127918,7,2020-11-13,2020-12-03,2020-11-23,7.2796934865900385,6.5303656482825785,8.107545020064157
Ashfield,East Midlands,2021-01-17,4847,650,127918,8,2021-01-06,2021-01-22,2021-01-14,13.410356921807304,12.479952387983595,14.398713301034318
Ashford,South East,2020-11-22,4014,216,130032,7,2020-11-13,2020-12-03,2020-11-23,5.381165919282512,4.724807041387797,6.1228449450751326
Ashford,South East,2021-01-17,4244,602,130032,8,2021-01-06,2021-01-22,2021-01-14,14.18473138548539,13.167424093600477,15.266816461978564
Babergh,East of England,2020-11-22,2489,110,92036,7,2020-11-13,2020-12-03,2020-11-23,4.41944556046605,3.679826736908779,5.299543291965354
Babergh,East of England,2021-01-17,2938,295,92036,8,2021-01-06,2021-01-22,2021-01-14,10.040844111640572,9.005728980911046,11.180316634842475
Barking and Dagenham,London,2020-11-22,5777,630,212906,7,2020-11-13,2020-12-03,2020-11-23,10.90531417690843,10.127351747296185,11.735234656838154
Barking and Dagenham,London,2021-01-17,10302,1910,212906,8,2021-01-06,2021-01-22,2021-01-14,18.540089303047953,17.801425442928675,19.302206260505848
Barnet,London,2020-11-22,11707,712,395869,7,2020-11-13,2020-12-03,2020-11-23,6.081831382933288,5.663139425679674,6.529335930096177
Barnet,London,2021-01-17,15653,3116,395869,8,2021-01-06,2021-01-22,2021-01-14,19.90672714495624,19.288615079088686,20.539606182662475
Barnsley,Yorkshire and The Humber,2020-11-22,7134,630,246866,7,2020-11-13,2020-12-03,2020-11-23,8.830950378469302,8.19448220884241,9.511731442889557
Barnsley,Yorkshire and The Humber,2021-01-17,7025,695,246866,8,2021-01-06,2021-01-22,2021-01-14,9.8932384341637,9.216815867594233,10.613499938882274
Barrow-in-Furness,North West,2020-11-22,2316,84,67049,7,2020-11-13,2020-12-03,2020-11-23,3.6269430051813467,2.939073220253721,4.468392413542254
Barrow-in-Furness,North West,2021-01-17,2972,317,67049,8,2021-01-06,2021-01-22,2021-01-14,10.666218034993271,9.606768424011964,11.827218152459297
Basildon,East of England,2020-11-22,5506,581,187199,7,2020-11-13,2020-12-03,2020-11-23,10.552124954594987,9.76795148848764,11.391304499800388
Basildon,East of England,2021-01-17,6802,1010,187199,8,2021-01-06,2021-01-22,2021-01-14,14.848573948838578,14.023398028992897,15.713431297198643
Basingstoke and Deane,South East,2020-11-22,4566,177,176582,7,2020-11-13,2020-12-03,2020-11-23,3.8764783180026283,3.3542401419287375,4.476260369855751
Basingstoke and Deane,South East,2021-01-17,5973,818,176582,8,2021-01-06,2021-01-22,2021-01-14,13.694960656286623,12.846395576542491,14.590193968602566
Bassetlaw,East Midlands,2020-11-22,3704,311,117459,7,2020-11-13,2020-12-03,2020-11-23,8.3963282937365,7.5457258801293285,9.333136546198563
Bassetlaw,East Midlands,2021-01-17,3679,433,117459,8,2021-01-06,2021-01-22,2021-01-14,11.76950258222343,10.767869367255441,12.850889912684663
